word frequencyM frequencyNA sum
sisters 2 0 2
farre 2 0 2
glamis 2 0 2
shalt 2 0 2
hereafter 1 1 2
seeme 2 0 2
lesser 1 1 2
imperfect 1 1 2
ayre 2 0 2
happily 1 1 2
gladly 1 1 2
execution 1 1 2
prince 1 1 2
dearest 2 0 2
onely 2 0 2
gvest 2 0 2
prythee 2 0 2
beast 1 1 2
later 1 1 2
thinke 2 0 2
cleave 1 1 2
consent 1 1 2
hearke 2 0 2
lyes 2 0 2
sorry 2 0 2
foolish 1 1 2
consider 1 1 2
deeds 2 0 2
sleep 1 1 2
shame 2 0 2
late 1 1 2
faith 1 1 2
urine 1 1 2
beleeve 2 0 2
lye 2 0 2
throat 2 0 2
stirring 2 0 2
command 1 1 2
confusion 1 1 2
dy 2 0 2
oh 2 0 2
helpe 2 0 2
manly 2 0 2
unnaturall 2 0 2
duncans 2 0 2
scone 2 0 2
fife 2 0 2
thither 1 1 2
wel 2 0 2
gods 2 0 2
with 1 1 2
ride 2 0 2
advice 1 1 2
sure 2 0 2
spirits 1 1 2
straight 1 1 2
madame 2 0 2
kill 2 0 2
minde 2 0 2
natures 2 0 2
needes 2 0 2
sonn 2 0 2
fled 2 0 2
safe 2 0 2
sweet 1 1 2
rise 1 1 2
shed 1 1 2
hide 1 1 2
growes 2 0 2
macduff 2 0 2
l 2 0 2
toyle 2 0 2
commend 1 1 2
power 1 1 2
eares 2 0 2
bee 2 0 2
seeke 2 0 2
satisfied 1 1 2
graces 2 0 2
patience 1 1 2
babes 2 0 2
foole 2 0 2
fathers 1 1 2
husband 2 0 2
withall 1 1 2
swear 1 1 2
honest 2 0 2
villaine 2 0 2
desolate 1 1 2
even 2 0 2
bleed 2 0 2
govern 2 0 2
doctor 2 0 2
disease 2 0 2
griefe 2 0 2
tongve 2 0 2
ones 1 1 2
play 2 0 2
watch 2 0 2
field 2 0 2
spot 2 0 2
smell 1 1 2
beyond 1 1 2
rings 1 1 2
english 2 0 2
dunsinane 2 0 2
souldiers 2 0 2
force 1 1 2
pleasure 1 1 2
reported 1 1 2
needed 1 1 2
therein 1 1 2
doubt 1 1 2
walls 1 1 2
forgot 1 1 2
false 1 1 2
breath 1 1 2
tied 1 1 2
yeeld 2 0 2
front 1 1 2
spend 1 1 2
continued 0 2 2
year 0 2 2
months 0 2 2
weak 0 2 2
five 0 2 2
point 0 2 2
north 0 2 2
spare 0 2 2
hearts 0 2 2
voices 0 2 2
beseeching 0 2 2
discover 0 2 2
knowing 0 2 2
utterly 0 2 2
islands 0 2 2
bent 0 2 2
appearance 0 2 2
flat 0 2 2
built 0 2 2
minute 0 2 2
straightways 0 2 2
warning 0 2 2
signs 0 2 2
ends 0 2 2
drew 0 2 2
delivered 0 2 2
provide 0 2 2
coast 0 2 2
needeth 0 2 2
write 0 2 2
wings 0 2 2
instrument 0 2 2
tongue 0 2 2
tempests 0 2 2
ill 0 2 2
presented 0 2 2
gown 0 2 2
wide 0 2 2
sleeves 0 2 2
apparel 0 2 2
daintily 0 2 2
locks 0 2 2
hair 0 2 2
sending 0 2 2
yards 0 2 2
softly 0 2 2
mouth 0 2 2
gesture 0 2 2
merits 0 2 2
licence 0 2 2
notary 0 2 2
aloud 0 2 2
pride 0 2 2
hoped 0 2 2
sickness 0 2 2
color 0 2 2
scarlet 0 2 2
clock 0 2 2
accommodated 0 2 2
sufficient 0 2 2
convenient 0 2 2
gathered 0 2 2
sides 0 2 2
civil 0 2 2
fashion 0 2 2
passed 0 2 2
brick 0 2 2
handsome 0 2 2
windows 0 2 2
parlour 0 2 2
fifty 0 2 2
seventeen 0 2 2
nineteen 0 2 2
lodge 0 2 2
fifteen 0 2 2
civilly 0 2 2
gallery 0 2 2
window 0 2 2
cells 0 2 2
instituted 0 2 2
removed 0 2 2
lifting 0 2 2
charge 0 2 2
requireth 0 2 2
to-morrow 0 2 2
removing 0 2 2
soon 0 2 2
wine 0 2 2
clear 0 2 2
pleasing 0 2 2
pills 0 2 2
quiet 0 2 2
standeth 0 2 2
christian 0 2 2
commandment 0 2 2
courtesy 0 2 2
manners 0 2 2
souls 0 2 2
grace 0 2 2
joyfully 0 2 2
joy 0 2 2
looking 0 2 2
office 0 2 2
occasions 0 2 2
self 0 2 2
stranger 0 2 2
countenance 0 2 2
fall 0 2 2
looked 0 2 2
awhile 0 2 2
wanted 0 2 2
salvation 0 2 2
fail 0 2 2
tongues 0 2 2
laying 0 2 2
tears 0 2 2
appear 0 2 2
daily 0 2 2
visit 0 2 2
sort 0 2 2
situation 0 2 2
admission 0 2 2
assuredly 0 2 2
vast 0 2 2
apostle 0 2 2
sheweth 0 2 2
demand 0 2 2
marvellous 0 2 2
move 0 2 2
heavenly 0 2 2
fell 0 2 2
college 0 2 2
miracles 0 2 2
illusions 0 2 2
acknowledge 0 2 2
testify 0 2 2
prosper 0 2 2
caused 0 2 2
silence 0 2 2
fore-end 0 2 2
palm 0 2 2
contained 0 2 2
testament 0 2 2
nevertheless 0 2 2
bartholomew 0 2 2
appeareth 0 2 2
original 0 2 2
persians 0 2 2
miraculous 0 2 2
paused 0 2 2
messenger 0 2 2
fearful 0 2 2
formerly 0 2 2
discoveries 0 2 2
traveller 0 2 2
commonly 0 2 2
degree 0 2 2
indies 0 2 2
marvel 0 2 2
lordship 0 2 2
affairs 0 2 2
hidden 0 2 2
news 0 2 2
tender 0 2 2
touch 0 2 2
particulars 0 2 2
reveal 0 2 2
satisfaction 0 2 2
ago 0 2 2
remnant 0 2 2
universal 0 2 2
deluge 0 2 2
named 0 2 2
stirps 0 2 2
atlantic 0 2 2
mediterrane 0 2 2
borders 0 2 2
flourish 0 2 2
temple 0 2 2
streams 0 2 2
rivers 0 2 2
tyrambel 0 2 2
mighty 0 2 2
riches 0 2 2
enemies 0 2 2
arid 0 2 2
bear 0 2 2
destroyed 0 2 2
earthquakes 0 2 2
although 0 2 2
generally 0 2 2
flying 0 2 2
woods 0 2 2
perished 0 2 2
necessary 0 2 2
thin 0 2 2
population 0 2 2
poor 0 2 2
peopled 0 2 2
noah 0 2 2
extreme 0 2 2
lighter 0 2 2
feathers 0 2 2
infinite 0 2 2
flights 0 2 2
accident 0 2 2
lay 0 2 2
following 0 2 2
intercourse 0 2 2
yield 0 2 2
mariners 0 2 2
mortal 0 2 2
solamona 0 2 2
esteem 0 2 2
maintain 0 2 2
aid 0 2 2
soil 0 2 2
crown 0 2 2
entrance 0 2 2
commixture 0 2 2
relief 0 2 2
distressed 0 2 2
rose 0 2 2
join 0 2 2
chose 0 2 2
institution 0 2 2
beareth 0 2 2
records 0 2 2
motion 0 2 2
maketh 0 2 2
lived 0 2 2
opinion 0 2 2
forbidden 0 2 2
mission 0 2 2
designed 0 2 2
sciences 0 2 2
silks 0 2 2
spices 0 2 2
growth 0 2 2
silent 0 2 2
willing 0 2 2
procure 0 2 2
acquaintance 0 2 2
bosom 0 2 2
bidden 0 2 2
compounded 0 2 2
granted 0 2 2
celebrated 0 2 2
sexes 0 2 2
concerning 0 2 2
courses 0 2 2
marriages 0 2 2
orders 0 2 2
public 0 2 2
seldom 0 2 2
vine 0 2 2
upper 0 2 2
leaf 0 2 2
daughters 0 2 2
substance 0 2 2
males 0 2 2
females 0 2 2
difference 0 2 2
always 0 2 2
lower 0 2 2
stalk 0 2 2
mantle 0 2 2
directed 0 2 2
propagation 0 2 2
varied 0 2 2
dignity 0 2 2
chosen 0 2 2
retireth 0 2 2
guests 0 2 2
comely 0 2 2
adam 0 2 2
abraham 0 2 2
third 0 2 2
calleth 0 2 2
shoulders 0 2 2
jewel 0 2 2
figure 0 2 2
ear 0 2 2
wear 0 2 2
religion 0 2 2
hate 0 2 2
extremely 0 2 2
virgin 0 2 2
messiah 0 2 2
tradition 0 2 2
customs 0 2 2
affected 0 2 2
families 0 2 2
nuptial 0 2 2
chastity 0 2 2
dissolute 0 2 2
courtesans 0 2 2
unlawful 0 2 2
concupiscence 0 2 2
single 0 2 2
married 0 2 2
avoid 0 2 2
lust 0 2 2
appetites 0 2 2
righteousness 0 2 2
contract 0 2 2
parents 0 2 2
feigned 0 2 2
couple 0 2 2
commanded 0 2 2
cape 0 2 2
girt 0 2 2
neck 0 2 2
bare 0 2 2
wheels 0 2 2
embroidered 0 2 2
garments 0 2 2
crosier 0 2 2
pastoral 0 2 2
staff 0 2 2
metal 0 2 2
behind 0 2 2
principals 0 2 2
pages 0 2 2
taught 0 2 2
employments 0 2 2
assigned 0 2 2
ordinances 0 2 2
rites 0 2 2
observe 0 2 2
causes 0 2 2
caves 0 2 2
cave 0 2 2
beams 0 2 2
producing 0 2 2
metals 0 2 2
compositions 0 2 2
materials 0 2 2
prolongation 0 2 2
hermits 0 2 2
burials 0 2 2
earths 0 2 2
fruitful 0 2 2
towers 0 2 2
rain 0 2 2
snow 0 2 2
hail 0 2 2
fish 0 2 2
violent 0 2 2
wells 0 2 2
baths 0 2 2
brass 0 2 2
minerals 0 2 2
demonstrate 0 2 2
vital 0 2 2
juice 0 2 2
various 0 2 2
orchards 0 2 2
gardens 0 2 2
beauty 0 2 2
sweeter 0 2 2
trials 0 2 2
try 0 2 2
barren 0 2 2
serpents 0 2 2
effect 0 2 2
wines 0 2 2
fruits 0 2 2
dried 0 2 2
insomuch 0 2 2
mild 0 2 2
shops 0 2 2
simples 0 2 2
forms 0 2 2
mechanical 0 2 2
dainty 0 2 2
demonstrations 0 2 2
rain-bows 0 2 2
gems 0 2 2
multiplications 0 2 2
lines 0 2 2
deceits 0 2 2
objects 0 2 2
distances 0 2 2
helps 0 2 2
stones 0 2 2
articulate 0 2 2
practices 0 2 2
multiply 0 2 2
ordnance 0 2 2
astronomy 0 2 2
senses 0 2 2
collect 0 2 2
liberal 0 2 2
axioms 0 2 2
divinations 0 2 2
labours 0 2 2
lastly 0 2 2
statues 0 2 2
inventors 0 2 2
statue 0 2 2
descriptions 0 2 2
value 0 2 2
publish 0 2 2
hurley-burley 1 0 1
heath 1 0 1
gray-malkin 1 0 1
padock 1 0 1
calls 1 0 1
serieant 1 0 1
doubtfull 1 0 1
cousin 1 0 1
gentleman 1 0 1
gins 1 0 1
reflection 1 0 1
dismay 1 0 1
captaines 1 0 1
sparrowes 1 0 1
eagles 1 0 1
wounds 1 0 1
rosse 1 0 1
lookes 1 0 1
cam 1 0 1
fiffe 1 0 1
happiness 1 0 1
sweno 1 0 1
norwayes 1 0 1
wonn 1 0 1
killing 1 0 1
swine 1 0 1
saylors 1 0 1
chestnuts 1 0 1
lappe 1 0 1
winde 1 0 1
thumbe 1 0 1
weyward 1 0 1
seene 1 0 1
soris 1 0 1
start 1 0 1
happyer 1 0 1
speakers 1 0 1
bubbles 1 0 1
corporall 1 0 1
toth 1 0 1
selfe-same 1 0 1
tune 1 0 1
receiu 1 0 1
earnest 1 0 1
devill 1 0 1
glamys 1 0 1
trusted 1 0 1
truths 1 0 1
partner 1 0 1
rapt 1 0 1
honors 1 0 1
favour 1 0 1
loyalty 1 0 1
owe 1 0 1
grow 1 0 1
plenteous 1 0 1
ioyes 1 0 1
labor 1 0 1
cumberland 1 0 1
step 1 0 1
success 1 0 1
rt 1 0 1
mad 1 0 1
comming 1 0 1
tending 1 0 1
purposes 1 0 1
cleare 1 0 1
seat 1 0 1
summer 1 0 1
hostess 1 0 1
twer 1 0 1
supt 1 0 1
proceed 1 0 1
drunke 1 0 1
men-children 1 0 1
dares 1 0 1
boy 1 0 1
moone 1 0 1
unprepar 1 0 1
lose 1 0 1
repose 1 0 1
mistress 1 0 1
drunk 1 0 1
alack 1 0 1
afraid 1 0 1
awak 1 0 1
owle 1 0 1
schreame 1 0 1
crickets 1 0 1
donalbaine 1 0 1
laugh 1 0 1
lodg 1 0 1
deepely 1 0 1
voyce 1 0 1
